screen_name,in_reply_to_screen_name,mentions,full_text
Tyler_Polumbus,,[u'BroncosOffField'],RT Football is Family 's 
Tyler_Polumbus,,[],is a legend 
Tyler_Polumbus,,[],Coolest coach in the NFL 
Tyler_Polumbus,,[],
Tyler_Polumbus,,[],It is almost here 
Tyler_Polumbus,,[u'SnoopDogg'],Just hanging with my child hood best friend 
Tyler_Polumbus,,[],Practice at Stanford in the books 
Tyler_Polumbus,,"[u'Richesson', u'Broncos', u'Tyler_Polumbus', u'NFL']",RT Final shot of commissioned piece for big Tyler 
Tyler_Polumbus,,[],Thanks for what you guys do 
Tyler_Polumbus,ariannaemerick,"[u'ariannaemerick', u'Floydsbarber']",let me know when I can get that lifetime beard conditioner 
Tyler_Polumbus,,"[u'NickiJhabvala', u'Tyler_Polumbus', u'ohsnapjbsmoove']",RT James Ferentz and 
Tyler_Polumbus,,[],O Lines boys headed to media day 
Tyler_Polumbus,,[],Santa Clara bound 
Tyler_Polumbus,,[],We going to the ship 
Tyler_Polumbus,,[u'StationCDRKelly'],RT Day 299 Good night all 
Tyler_Polumbus,,[],Prime Ali vs Prime Tyson? What say you? 
Tyler_Polumbus,,[],Tonight's sunset 
Tyler_Polumbus,,[u'AllBuffs'],RT Sigh Six point game in the fourth quarter too 
Tyler_Polumbus,,[u'Hlas'],RT The players seem to be enjoying their new T-shirts and caps 
Tyler_Polumbus,,[],I was there in 1990 
Tyler_Polumbus,,[],2007 my SR year at CU we played Bama in Independence bowl Since then Bama has won 4 National Titles CU hasn't been to bowl since 
Tyler_Polumbus,,[],
Tyler_Polumbus,,[],Well that was fun 
Tyler_Polumbus,,"[u'EvanMathis69', u'salaams_from_68', u'two_dice', u'SchoBlue75', u'LouisVasquez65', u'MGarcia_76']",Help our guy out 
Tyler_Polumbus,,[],Sothat was pretty cool 
Tyler_Polumbus,,[],Wifey introduced me to Spies Like Us tonight How did I go 30 years without seeing this? 
Tyler_Polumbus,,[],Probably the best leader in all areas of life I have ever been around Faith family and football Great read 
Tyler_Polumbus,,[u'sonofbum'],RT I know we bare-ly won last week but really looking forward to this next one 
Tyler_Polumbus,,[],Put my son to bed then found this in the basement I think the good guys are winning Bane is the last man standing 
Tyler_Polumbus,,[u'soldernate'],Love you in immediate prayer for Hudson and your family Will you all join me? 
Tyler_Polumbus,,[u'espn'],RT Army football stands with France [Credit Mike Groll/AP] 
Tyler_Polumbus,Alexthe_lion,[u'Alexthe_lion'],watching you tonight bro Tear it up 
Tyler_Polumbus,,[u'joelklatt'],RT As they stood with uswe shall stand with them 
Tyler_Polumbus,,[u'cubuffs'],Boulder boundfirst game in Boulder in 7 years Can't wait 
Tyler_Polumbus,,[u'IJM'],RT We know it's early in morning but it's the last day of our match campaign 1 new follow $1 to end slavery RT 
Tyler_Polumbus,,[],This guy was hilarious Cool to get to skype with those serving our nation in Afghanistan 
Tyler_Polumbus,,"[u'cubuffs', u'CoachMcCartney']",Late on watching itand knew the whole storybut wowheck of a 30 for 30 on and Coach 
Tyler_Polumbus,,[u'IJM'],Im reclaiming Game Day Sundays as Help me put an end to modern-day slavery 
Tyler_Polumbus,,[],Go Buffs 
Tyler_Polumbus,,[u'salaams_from_68'],RT LIVE on Here it is On the couch with Dillon Day 
Tyler_Polumbus,,[],Good to be back in Denver in the Blue and Orange 
Tyler_Polumbus,,[],Officially the best beard I have ever seen 
MOOCHIE048,,[],Big shoutout to for all the support y'all showed today The was incredible Can't wait to do it again 
MOOCHIE048,kginley60,[u'kginley60'],hopefully we keep it up next year I like them stats 
MOOCHIE048,,[u'gbg_18'],RT To my former teammates and I could not be happier for y'all you have some true c 
MOOCHIE048,gbg_18,"[u'gbg_18', u'KapriBibbs']",Preciate it G 
MOOCHIE048,615Mike,"[u'615Mike', u'Broncos', u'KapriBibbs', u'CSUFootball']",thanks 
MOOCHIE048,Capt_Squints,[u'Capt_Squints'],I'm trying thanks for the support 
MOOCHIE048,tarich65,[u'tarich65'],it's from an old commercial 
MOOCHIE048,BrownNGoldMama,[u'BrownNGoldMama'],I'm good thanks 
MOOCHIE048,Trae_B_anderson,[u'Trae_B_anderson'],Preciate it Trae 
MOOCHIE048,FowlerAdamj,[u'FowlerAdamj'],Yessir thanks 
MOOCHIE048,gsmitty_44,"[u'gsmitty_44', u'KapriBibbs']",Yessir preciate it 
MOOCHIE048,dubbf,[u'dubbf'],thanks 
MOOCHIE048,BRONCOSC0UNTRY,[u'BRONCOSC0UNTRY'],I'm good thanks 
MOOCHIE048,gsmitty_44,[u'gsmitty_44'],haha I didn't want to come out 
MOOCHIE048,therealcditty,"[u'therealcditty', u'Broncos', u'CSUAthletics']",thanks 
MOOCHIE048,ChasersGM,"[u'ChasersGM', u'BoysTown']",Preciate it 
MOOCHIE048,Red_Crawford,[u'Red_Crawford'],haha 
MOOCHIE048,KeyahSanchez,[u'KeyahSanchez'],thanks yup born and raised 
MOOCHIE048,dpittsttg,[u'dpittsttg'],love you too mane 
MOOCHIE048,JoeHansley,"[u'JoeHansley', u'KapriBibbs']",Preciate it homie 
MOOCHIE048,,[],Me and the homie tune the man on the moon liltunechi 
MOOCHIE048,,[],Tj houshmanzode championship 
MOOCHIE048,TClark_est92,"[u'TClark_est92', u'BamBam_Blake23']",y'all wilding smh I'm the best thing since sliced bread 
MOOCHIE048,BamBam_Blake23,"[u'BamBam_Blake23', u'PFF']",you already know 
MOOCHIE048,,[],Nice edit 
MOOCHIE048,,[],Ready to go to work today I love grinding wit my bros 
MOOCHIE048,,[],Fresh off the press get em while they last 
MOOCHIE048,,"[u'Players_Locker', u'MOOCHIE048']",RT New Shaquil Barrett Shaq Attack shirt just released 
MOOCHIE048,ay_yo_jenn,[u'ay_yo_jenn'],gotcha haha 
MOOCHIE048,,[],This game is crazy haha 
MOOCHIE048,,[],Packers new offense should be deep ball ever play haha 
MOOCHIE048,,[],Weee ready weeee ready weeee ready for y'all 
MOOCHIE048,,"[u'SamsungMobileUS', u'MOOCHIE048']",RT We're lucky to have you on our team Thanks again for the shout out 
MOOCHIE048,SamsungMobileUS,[u'SamsungMobileUS'],it's nothing I don't like about it haha 
MOOCHIE048,,[u'SamsungMobileUS'],Big shoutout to for my new note 5 
MOOCHIE048,,[u'MikesStadiumSC'],Meet me Saturday Quincy/Parker Aurora From 1-2 Get autos and photos Details on link below 
MOOCHIE048,,"[u'nrelich90', u'MOOCHIE048']",RT representing the Broncos and CSU with my new jersey merry christmas to me 
