screen_name,in_reply_to_screen_name,mentions,full_text
rockorocky,,[],May my Haters live long to see my success 
rockorocky,DontWorryBoutB,[u'DontWorryBoutB'],
rockorocky,,[],How much will your last name be worth?? 
rockorocky,,[],ManManMan 
rockorocky,_B_Jibor,[u'_B_Jibor'],
rockorocky,_B_Jibor,[u'_B_Jibor'],FrFr 
rockorocky,,"[u'sluathletics', u'SLUFootball']",RT FOOTBALL Southeastern Louisiana Names Frank Scelfo New Head Football Coach 
rockorocky,,"[u'sluathletics', u'JayArtigues']",Just got word that LionNation football next HC will be Frank Scelfo What a nice signing heard a lot of good things about this guy Looking forward to seeing him in the Green and Gold Always remember 
rockorocky,HighRizer22,[u'HighRizer22'],Straight up 
rockorocky,CoachBLacy,"[u'CoachBLacy', u'poppaC01']",Lets roll 
rockorocky,HighRizer22,[u'HighRizer22'],
rockorocky,,[],You can count me out all you want but the Stats will show at the endIm Him#Fact 
rockorocky,,[],Juuuuuuuuuuust what 
rockorocky,,[u'PFF'],RT Top CB game grades during the 2017 playoffs 
rockorocky,,[u'PFF'],RT These CBs have allowed the lowest passer rating in their coverage in the postseason 
rockorocky,,[],Not playing today still have me to my stomach#Motivation 
rockorocky,,[u'Floater_22'],Contact my big bro on the best deals to get you cars transported 
rockorocky,,"[u'CoachRonRoberts', u'RaginCajunsFB']",Congrats to my ole ball coach got one hell of coach on and off the fieldLike we always said once a Lion youre a Lion 4life#Respect 
rockorocky,,[u'pedialyte'],Great flavors awesome taste and always effective Huge thanks to for keeping me hydrated 
rockorocky,,"[u'sprint', u'hulu']",Thanks for the free on my phone Sprint Unlimited customers should check out this great offer now 
rockorocky,,[],
rockorocky,,[u'PlayworksGA'],Lets put an end to bullying Help me spread the word that 
rockorocky,,[],If not you WHO If not nowWHEN 
rockorocky,,[u'nestbedding'],It's all about a good nights sleep 
rockorocky,,[],Pray as everything depends on God work as if everything depends on you 
rockorocky,,[u'YOBOYRoUnd'],Lil cuzzo with the two INTs on yesterdaySenior year it's time to eat on'em#TATfamily 
rockorocky,,[u'AtlantaFalcons'],RT Robert Alford has a message for you It's time to improve 
