screen_name,in_reply_to_screen_name,mentions,full_text
sj39,,[],
sj39,,[],Cheers and to all 
sj39,,[],Have a wonderful holiday 
sj39,,[],I'm back 
sj39,,[u'sj39'],RT awesome day despite the outcome I love college football 
sj39,,"[u'BeaverAthletics', u'osubeaversfb']",It's a new era for My blog on how Coach Andersen is connecting alumni with the team 
sj39,,[u'osubeaversfb'],Excited to see a new era of begin tonight 
HankTime85,,[],Hahahaha 
HankTime85,,[],24hr fitness that is 
HankTime85,,[],Why do people at these public gyms think they own the machines??? Insane 
HankTime85,,[],
HankTime85,,[],Yea them thangs hot 
HankTime85,Briggs_66,[u'Briggs_66'],lets do it I'm ready whenever 
HankTime85,,"[u'COLINMcCARTHY52', u'D_VanDyke8', u'HankTime85']",RT It's All About The U Crazy it's been 5-6 years ago ht 
HankTime85,CNCOMixer26,[u'vitalia27'],thanks 
HankTime85,Suzylovesdisney,[u'Suzylovesdisney'],yes everything is good thanks 
HankTime85,,[],27 wow lol time is flying Where's my birthday wishes? 
HankTime85,leggett15,[u'leggett15'],Yessiiirrr 
HankTime85,,[],Whose golfing in the morning??? 
HankTime85,,[],What's happening peeps? 
HankTime85,,[],Me and my boy would take on any Twosome that wants trouble on the course We can't 
HankTime85,,[],Vote for Chris Mauck one of the top QBs in the State 
HankTime85,Lizzs_Lockeroom,[u'Lizzs_Lockeroom'],lol it's killing me I drunk like a quarter gallon 2hrs ago and the stomach now is on fire 
HankTime85,,[],Lol I love the chocolate milk but it kills my stomach every time Never fails 
HankTime85,,[],What y'all think about chocolate milk??? 
HankTime85,,[],What's happening peeps? 
HankTime85,,[],Well this chapter was all she wrote I have no clue what the next one is going to be like but I must say I can't wait to find out 
HankTime85,,"[u'AtlantaFalcons', u'Patriots', u'buffalobills']",Thanks to the and the for giving me the opportunity to step on the field and play the game i love 
HankTime85,,[],Thankful for another year of football under my belt Blessed to be healthy 
HankTime85,,[],
HankTime85,,[],This Buffalo weather isn't it lol 
HankTime85,,[],Turned in to watch some 
HankTime85,,[],What's happening peeps? 
HankTime85,,[],Good morning Twitter world 
HankTime85,,[],Pool Day with the lil ones 
HankTime85,,[],Put the kids gifts under the Renaissance Christmas tree lol I'm sure they thought we was crazy 
HankTime85,,[],We took over the hotel Christmas tree lol hilarious 
HankTime85,,[],Merry Christmas everyone 
HankTime85,,[],What's happening peeps? 
HankTime85,,[],never mind Chris jus responded 
HankTime85,,[],see if your dad wants to hit the course right now if he can I texted Chris but I'm sure he's at work and can't respond 
HankTime85,,[],Having therefore these promises dearly beloved let us cleanse ourselves from all filthiness of the flesh and sp 
HankTime85,,[],I hope she's not tweet watching and I'm ruining the surprise 
HankTime85,gb71,[u'gb71'],naw she don't have Twitter 
HankTime85,,[],It's a surprise gona walk in the house and surprise her later with gifts lol 
HankTime85,,[],My girl B-day today and I haven't told her yet Who think she going crazy right now???? 
HankTime85,,[],All you can do is control what you can never worry about what you can't 
HankTime85,,[],Marc what up I struggled that day lol Started out hot but couldn't maintain I'll give him crap the nex time 
HankTime85,,[],Wishing you all a blessed Wednesday 
HankTime85,,[],Good morning peeps 
HankTime85,,[],What's happening peeps? 
HankTime85,Bee_Tyme,[u'Bee_Tyme'],can't call it bra jus chillen 
HankTime85,,[],naw I don't think so 
HankTime85,PickSixPreviews,"[u'PickSixPreviews', u'moose_coach']",that's a classic 
HankTime85,PickSixPreviews,"[u'PickSixPreviews', u'moose_coach']",I love it lol 
HankTime85,,[u'PickSixPreviews'],RT GA High School coach cracking skulls and bleeding from the head BECAUSE IT'S THE PLAYOFFS 
HankTime85,,[],What's happening peeps? 
HankTime85,,"[u'MarkRicht', u'MiamiHurricanes']",Let's change them colors and that background pic lol now congrats 
HankTime85,,[],Unfinished Business George Smith 
HankTime85,jadeybadass,[u'jadeybadass'],you lol 
HankTime85,,[u'CanesFamNews'],RT Richt makes me believe a bad year will be 9 wins go year will be 10-12 wins RICHT FACTOR 
HankTime85,,[],Big expectations from Mr Mark Richt 
HankTime85,,[],I think we immediately start competing for the ACC title and head down that road to the NCAA playoffs 
HankTime85,,[u'MiamiHurricanes'],Great Hire that's exactly who we needed 
HankTime85,,"[u'CBSSportsNet', u'AdamSchein']",RT This is one of the best days for Miami football in the last 10-15 years loves the Mark Richt hire https 
HankTime85,,[],Well look at there Mark Richt to the U welcome 
HankTime85,,[],Psalms 119105 Thy word is a lamp onto my feet and a light onto my path 
HankTime85,,[],Good morning peeps have a blessed day and make it count The only day you have is today 
HankTime85,TheRealKACash,[u'TheRealKACash'],4sho 
HankTime85,Lizzs_Lockeroom,[u'Lizzs_Lockeroom'],good 
HankTime85,Lizzs_Lockeroom,[u'Lizzs_Lockeroom'],ahhhhhh I gotcha lol 
HankTime85,AldrickRobinson,[u'AldrickRobinson'],lil A you trying to see me on them sticks you been running 
HankTime85,,[],You don't want these problems 
HankTime85,Lizzs_Lockeroom,[u'Lizzs_Lockeroom'],what about mike? 
HankTime85,,[],Anyone claustrophobic??? Trying to get the body right inside the hyperbaric oxygen chamber 
HankTime85,,[],Lol I'm on ps4 
HankTime85,,[],Hopefully it's Mark Richt 
HankTime85,,[],Yea you want some of me? 
HankTime85,,[],Give my friend and former teammate and Adam Carriker's new Facebook page a Like in support of his charity 
HankTime85,,[],What's happening peeps hope all is well 
HankTime85,,[],enough said 
HankTime85,,[u'WTRMLNWTR'],Big fan of It's delicious Best training drink on the market period 
HankTime85,,[],Another day to get better or worst I know which one I'm choosing do you??? 
HankTime85,,[],Afternoon peeps 
HankTime85,,[u'Sports_Greats'],RT Being perfect is about being able to look your friends in the eye and know that you didn't let them down -Friday Night 
HankTime85,,[],everyone have a great day Another opportunity to get better at work practice driving as a parent W/e it is Make it count 
HankTime85,,[],Good morning peeps 
HankTime85,,[],Got some good work in Today 
HankTime85,,[],When your son watch too much of Gronk and Odell this becomes his TD dance 
HankTime85,,[],Hardships often prepare ordinary people for extra ordinary destiny 
HankTime85,,[],What's happening peeps? 
HankTime85,66_Henderson,"[u'66_Henderson', u'CanesFootball']",man they out there tripping 
HankTime85,,[],Is it about that time to 
HankTime85,,[],Thankful for another opportunity to do something you love 
HankTime85,,[],Must Be GameDay 
